Temp       5   10   15   20   25   30   35   40   45   50   55   60   65   70   75   80   85   90   95
Press
 300    0.55 0.55 0.55 0.55 0.55 0.55 0.49 0.41 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.25
 310    0.53 0.54 0.54 0.54 0.54 0.53 0.45 0.38 0.37 0.37 0.37 0.36 0.28 0.24 0.24 0.24 0.24 0.24 0.23
 320    0.51 0.52 0.52 0.52 0.52 0.50 0.42 0.34 0.33 0.33 0.33 0.32 0.26 0.22 0.22 0.22 0.22 0.22 0.21
 330    0.48 0.47 0.47 0.47 0.47 0.46 0.38 0.30 0.28 0.28 0.28 0.28 0.24 0.18 0.17 0.17 0.17 0.17 0.18
 340    0.46 0.43 0.43 0.43 0.43 0.42 0.35 0.27 0.26 0.26 0.26 0.26 0.22 0.14 0.13 0.13 0.13 0.13 0.16
 350    0.40 0.40 0.40 0.40 0.40 0.39 0.31 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 360    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 370    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 380    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 390    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 400    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 410    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 420    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 430    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 440    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 450    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 460    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 470    0.40 0.40 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.20 0.11 0.10 0.10 0.10 0.10 0.10
 480    0.40 0.40 0.40 0.40 0.40 0.38 0.30 0.26 0.25 0.25 0.25 0.24 0.20 0.12 0.10 0.10 0.10 0.10 0.10
 490    0.40 0.40 0.40 0.40 0.40 0.36 0.30 0.27 0.25 0.25 0.25 0.23 0.20 0.14 0.10 0.10 0.10 0.10 0.10

